# Nikon maker-note lens identities.
# Key: LibRaw makernotes.LensID, the eight composite bytes as hex.
# One row per candidate name; a repeated key is ambiguous.
# Generated from ExifTool's published tag documentation; see nikon.provenance.json.
7840376E2C3C7C0E	AF-S VR Zoom-Nikkor 24-120mm f/3.5-5.6G IF-ED
794011112C2C1C06	Sigma 8mm F3.5 EX Circular Fisheye
79403C802C3C7F06	AF Zoom-Nikkor 28-200mm f/3.5-5.6G IF-ED
79483C5C24241C06	Sigma 28-70mm F2.8 EX DG
79485C5C24241C06	Sigma Macro 70mm F2.8 EX DG
795431310C0C4B06	Sigma 20mm F1.4 DG HSM | A
7A3B5380303C4B06	Sigma 55-200mm F4-5.6 DC HSM
7A3C1F3730307E06	AF-S DX Zoom-Nikkor 12-24mm f/4G IF-ED
7A3C1F3730307E06	Tokina AT-X 124 AF PRO DX II (AF 12-24mm f/4)
7A3C1F3C30307E06	Tokina AT-X 12-28 PRO DX (AF 12-28mm f/4)
7A402D502C3C4B06	Sigma 18-50mm F3.5-5.6 DC HSM
7A402D802C404B0E	Sigma 18-200mm F3.5-6.3 DC OS HSM
7A472B5C24344B06	Sigma 17-70mm F2.8-4.5 DC Macro Asp. IF HSM
7A47507624244B06	Sigma 50-150mm F2.8 EX APO DC HSM
7A481C2924247E06	Tokina AT-X 116 PRO DX II (AF 11-16mm f/2.8)
7A481C3024247E06	Tokina AT-X 11-20 F2.8 PRO DX (AF 11-20mm f/2.8)
7A482B5C24344B06	Sigma 17-70mm F2.8-4.5 DC Macro Asp. IF HSM
7A482D5024244B06	Sigma 18-50mm F2.8 EX DC Macro
